"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[AfterSuite]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"passed","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:25 GMT 2022","24122","","Controller Suite","","Controller Suite","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast, allure]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:34 GMT 2022","33694","","Controller Suite","","Controller Suite","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with 2 members [hz, fast, allure]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"skipped","Tue Jul 05 22:35:01 GMT 2022","Tue Jul 05 22:35:01 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
